,pct_cli,pct_ili,pct_cli_anosmia_ageusia,pct_hh_cli,pct_cmnty_cli,pct_hh_fever,pct_hh_sore_throat,pct_hh_cough,pct_hh_shortness_of_breath,pct_hh_difficulty_breathing,mean_hh_cli_ct,mean_cmnty_cli_ct,pct_self_fever,pct_self_cough,pct_self_shortness_of_breath,pct_self_difficulty_breathing,pct_self_tiredness_or_exhaustion,pct_self_nasal_congestion,pct_self_runny_nose,pct_self_muscle_joint_aches,pct_self_sore_throat,pct_self_persistent_pain_pressure_in_chest,pct_self_nausea_vomiting,pct_self_diarrhea,pct_self_anosmia_ageusia,pct_self_other,pct_self_none_of_above,pct_self_multiple_symptoms,pct_tested_and_positive,pct_tested_and_negative,pct_tested_no_result,pct_could_not_get_tested,pct_did_not_try_to_get_tested,pct_worked_outside_home,pct_avoid_contact_all_or_most_time,mean_outside_hh_contact_at_work_ct,mean_outside_hh_contact_shopping_ct,mean_outside_hh_contact_in_social_gatherings_ct,pct_contact_covid_positive,pct_diabetes,pct_cancer,pct_heart_disease,pct_high_blood_pressure,pct_asthma,pct_chronic_lung_disease,pct_kidney_disease,pct_autoimmune_disorder,pct_no_above_medical_conditions,pct_multiple_medical_conditions,pct_cli_weighted,pct_ili_weighted,pct_cli_anosmia_ageusia_weighted,pct_hh_cli_weighted,pct_cmnty_cli_weighted,pct_hh_fever_weighted,pct_hh_sore_throat_weighted,pct_hh_cough_weighted,pct_hh_shortness_of_breath_weighted,pct_hh_difficulty_breathing_weighted,mean_hh_cli_ct_weighted,mean_cmnty_cli_ct_weighted,pct_self_fever_weighted,pct_self_cough_weighted,pct_self_shortness_of_breath_weighted,pct_self_difficulty_breathing_weighted,pct_self_tiredness_or_exhaustion_weighted,pct_self_nasal_congestion_weighted,pct_self_runny_nose_weighted,pct_self_muscle_joint_aches_weighted,pct_self_sore_throat_weighted,pct_self_persistent_pain_pressure_in_chest_weighted,pct_self_nausea_vomiting_weighted,pct_self_diarrhea_weighted,pct_self_anosmia_ageusia_weighted,pct_self_other_weighted,pct_self_none_of_above_weighted,pct_self_multiple_symptoms_weighted,pct_tested_and_positive_weighted,pct_tested_and_negative_weighted,pct_tested_no_result_weighted,pct_could_not_get_tested_weighted,pct_did_not_try_to_get_tested_weighted,pct_worked_outside_home_weighted,pct_avoid_contact_all_or_most_time_weighted,mean_outside_hh_contact_at_work_ct_weighted,mean_outside_hh_contact_shopping_ct_weighted,mean_outside_hh_contact_in_social_gatherings_ct_weighted,pct_contact_covid_positive_weighted,pct_diabetes_weighted,pct_cancer_weighted,pct_heart_disease_weighted,pct_high_blood_pressure_weighted,pct_asthma_weighted,pct_chronic_lung_disease_weighted,pct_kidney_disease_weighted,pct_autoimmune_disorder_weighted,pct_no_above_medical_conditions_weighted,pct_multiple_medical_conditions_weighted
pct_cli,1,0.929237222,0.692553876,0.689254076,0.383919774,0.628222445,0.385348773,0.370974617,0.305953089,0.30908207,0.006993673,-0.002148694,0.885066818,0.366207935,0.287411015,0.314022019,0.297893106,0.299476233,0.230671792,0.210334893,0.374906093,0.39224286,0.343955315,0.310739998,0.427828796,0.097659218,-0.279688775,0.319798329,0.21952804,-0.0051862,0.157186352,0.131436149,-0.127703132,0.139721288,0.005521684,-0.000493722,-0.000482581,-0.000152448,0.218572508,-0.136778163,-0.17937395,-0.156368442,-0.149406443,0.067571398,-0.117373587,-0.124609007,0.002675231,0.156570749,-0.148140841,0.915063724,0.851669332,0.644461288,0.632626265,0.262526436,0.584634754,0.37213834,0.362620793,0.294570855,0.293720017,0.006426376,-0.002257323,0.820283251,0.360603848,0.276895552,0.297849662,0.294181924,0.294195823,0.228842077,0.209000928,0.368009944,0.367893159,0.328143848,0.299966598,0.400295603,0.093917933,-0.276456354,0.315929802,0.244106851,0.071679358,0.190615859,0.188345828,0.138113904,0.114135212,-0.004906842,-0.000237097,-0.000237097,-0.000266923,0.205541324,-0.138709218,-0.17387799,-0.155451906,-0.149170253,0.071054045,-0.117451368,-0.12161564,-0.005126383,0.155128263,-0.148208986
pct_ili,0.929237222,1,0.665998617,0.663235519,0.393897486,0.638582951,0.415300294,0.375936633,0.287729257,0.290879734,0.006610523,-0.00144141,0.898688136,0.367196164,0.263938402,0.292244604,0.315687909,0.30973033,0.233857112,0.209804633,0.409874678,0.390661889,0.356757982,0.321859934,0.430196277,0.097367724,-0.294360232,0.33290294,0.213644964,-0.001964982,0.173465566,0.128719717,-0.131872576,0.143693332,0.002704215,-0.000309942,-0.00030441,-0.0019872,0.222113539,-0.153662894,-0.192529808,-0.175350293,-0.170874303,0.081835262,-0.13406332,-0.140734764,0.004158205,0.174739802,-0.166045011,0.852411516,0.916589574,0.621240864,0.610585099,0.270684463,0.59443072,0.402519523,0.368829695,0.277369171,0.278581266,0.006059623,-0.001612211,0.832042378,0.363282349,0.255676745,0.278682127,0.311411269,0.304308845,0.232437317,0.209704736,0.402997519,0.366756252,0.342217367,0.312150195,0.403246328,0.093682704,-0.290473457,0.329443498,0.242048759,0.079908318,0.208165802,0.19055185,0.146184905,0.118988013,-0.007390906,3.46E-05,3.46E-05,-0.002079938,0.209275052,-0.15548794,-0.186811186,-0.174646319,-0.170316082,0.0847851,-0.133662428,-0.137242333,-0.004780567,0.173447725,-0.166045457
pct_cli_anosmia_ageusia,0.692553876,0.665998617,1,0.56304601,0.507224847,0.538963241,0.474234746,0.465383016,0.390507017,0.3714136,0.005360908,-0.00161972,0.65564901,0.441012364,0.348775714,0.352498747,0.39469096,0.399736859,0.308371266,0.28149498,0.457627665,0.43589969,0.428620656,0.375532968,0.913570937,0.146181238,-0.390214742,0.443752011,0.316416039,-0.007227816,0.183397729,0.15070263,-0.160999051,0.116233289,0.042183489,-0.001953457,-0.001944565,0.00053537,0.293067158,-0.157947722,-0.192039813,-0.179471249,-0.17745508,0.106331484,-0.120764164,-0.135894438,0.039432575,0.17495747,-0.160381291,0.631781275,0.608907787,0.929498753,0.516795426,0.362709798,0.500681453,0.460778472,0.457521267,0.377053075,0.352798605,0.004981418,-0.001729294,0.606248292,0.43519428,0.334273667,0.334564095,0.389315319,0.392564196,0.306130013,0.278419028,0.449425608,0.405971068,0.409111009,0.361363265,0.842108301,0.135802518,-0.385527897,0.440543286,0.356661933,0.107861696,0.240662227,0.23530771,0.201481628,0.094778496,0.030055368,-0.001618407,-0.001618407,0.000503067,0.273886546,-0.16011941,-0.185778495,-0.176945471,-0.176327066,0.108826312,-0.122966477,-0.132557481,0.028434552,0.172045711,-0.160778435
pct_hh_cli,0.689254076,0.663235519,0.56304601,1,0.429267164,0.894496898,0.434246074,0.402643769,0.338873048,0.361897332,0.011780486,-0.00350577,0.662327489,0.333802595,0.244607671,0.266788265,0.291652081,0.283044906,0.203740442,0.170959447,0.361353534,0.360406727,0.323324709,0.29822609,0.405625477,0.068343079,-0.271927426,0.305520832,0.259043858,0.016470879,0.179003171,0.129092812,-0.158803853,0.163437032,-0.014406177,-0.002279654,-0.002267043,0.001033113,0.280637318,-0.147132627,-0.19888621,-0.16553355,-0.16065146,0.044003656,-0.1408373,-0.135490248,-0.031212862,0.177538598,-0.168622461,0.629539152,0.606775157,0.525932419,0.919190845,0.308621414,0.834318189,0.423033815,0.395226263,0.329367089,0.344982834,0.011150882,-0.003567053,0.612325314,0.329598386,0.236439588,0.254077588,0.287714646,0.277039523,0.202856977,0.173269867,0.355510108,0.338699323,0.310855668,0.289011224,0.380261281,0.063063835,-0.269446471,0.302921973,0.283098613,0.094874889,0.213792671,0.184831628,0.124345485,0.138315863,-0.01937922,-0.001935213,-0.001935213,0.000972064,0.263694973,-0.151377736,-0.195116822,-0.165805848,-0.162645023,0.044901871,-0.142420649,-0.134422882,-0.039269456,0.178171825,-0.170789586
pct_cmnty_cli,0.383919774,0.393897486,0.507224847,0.429267164,1,0.444331608,0.58412444,0.474465546,0.275813356,0.288363409,0.002827786,-0.002277241,0.40174918,0.391952783,0.202225037,0.242904899,0.482891654,0.403218178,0.236202866,0.149803868,0.536694872,0.413414294,0.474180183,0.435210454,0.46681815,0.029897768,-0.418137532,0.448564237,0.409125424,0.1601952,0.284965743,0.1153199,-0.334285249,0.325858747,-0.146900698,-0.001935904,-0.001932403,0.002572685,0.564363206,-0.290740216,-0.359240092,-0.309904554,-0.326799889,0.104356216,-0.289893699,-0.259383628,-0.066668173,0.345678352,-0.327723426,0.357678117,0.366020627,0.479022656,0.400194797,0.976298961,0.416332502,0.565995584,0.471194872,0.276885272,0.286781768,0.002935835,-0.002281573,0.378725342,0.392441533,0.200736753,0.239383193,0.476753584,0.393161811,0.23536111,0.159561838,0.522184246,0.390410383,0.457714206,0.422639101,0.43638339,0.027107898,-0.416889021,0.447898998,0.44815481,0.297566419,0.340198851,0.211207759,0.154653883,0.280517034,-0.13486599,-0.001884421,-0.001884421,0.002762284,0.528502616,-0.295789469,-0.353250897,-0.311863767,-0.329936189,0.113172473,-0.29092788,-0.258307388,-0.081006238,0.3430469,-0.329627663
pct_hh_fever,0.628222445,0.638582951,0.538963241,0.894496898,0.444331608,1,0.470232825,0.389861383,0.296012868,0.32633181,0.008694484,-0.002993155,0.701352956,0.321562718,0.212648981,0.24375785,0.346849954,0.304832543,0.211480679,0.163423117,0.399920775,0.36674058,0.363919722,0.335582351,0.398066129,0.071652394,-0.312311186,0.340105404,0.245002442,0.009492137,0.189069476,0.120015324,-0.149145338,0.191705495,-0.037566309,-0.003589852,-0.003571487,0.001883234,0.28026099,-0.20618102,-0.255047257,-0.227981066,-0.230165893,0.083456839,-0.201842325,-0.187565825,-0.039562845,0.240740215,-0.233937334,0.57721669,0.586416907,0.50589598,0.826624334,0.325991774,0.923825568,0.458048498,0.385476703,0.291248328,0.315481466,0.008325224,-0.003056889,0.645641569,0.320004716,0.208846802,0.235586792,0.340081679,0.29662792,0.209423531,0.166633026,0.392126587,0.346604958,0.350465853,0.32589712,0.374523503,0.064534351,-0.308369054,0.336676322,0.277059608,0.104780231,0.229088175,0.190085628,0.15722073,0.16987664,-0.038488906,-0.003235207,-0.003235207,0.001795953,0.264882828,-0.208923126,-0.250400099,-0.227824493,-0.230887339,0.084157693,-0.20177807,-0.185681317,-0.050155101,0.240047071,-0.235161024
pct_hh_sore_throat,0.385348773,0.415300294,0.474234746,0.434246074,0.58412444,0.470232825,1,0.601369978,0.295618699,0.312646576,0.00323002,-0.00546706,0.418818297,0.514827085,0.22562136,0.27302264,0.684480485,0.592930719,0.442182784,0.20990089,0.91248939,0.501755909,0.611732664,0.578448321,0.407542357,0.153327808,-0.678141773,0.678656523,0.110435709,-0.08656519,0.166603183,0.133707816,-0.039083071,0.223218985,-0.013147233,-0.003903921,-0.003903389,0.001589911,0.221768416,-0.504065873,-0.489300327,-0.512887599,-0.566322763,0.369005407,-0.427130719,-0.415389059,-0.012612521,0.52137182,-0.509116307,0.360528721,0.387650997,0.451599306,0.405248531,0.393543412,0.438987503,0.959561688,0.597066451,0.295811071,0.311774413,0.00313975,-0.005559341,0.39470219,0.5135304,0.221207988,0.266623454,0.662767907,0.572928675,0.430597183,0.217767627,0.875279399,0.471395929,0.586079811,0.553704994,0.386055218,0.136174755,-0.663165247,0.664834898,0.197596036,0.112732929,0.263701228,0.302323312,0.431483793,0.203996754,-0.03011407,-0.003731001,-0.003731001,0.001798062,0.211127315,-0.499518788,-0.477065016,-0.505196287,-0.555772693,0.364817219,-0.422005093,-0.401607884,-0.03755261,0.509665406,-0.50251501
pct_hh_cough,0.370974617,0.375936633,0.465383016,0.402643769,0.474465546,0.389861383,0.601369978,1,0.537856371,0.43033397,0.003394325,-0.005835482,0.379832582,0.906011809,0.455933413,0.374627993,0.49739492,0.653197266,0.636750898,0.371600903,0.575495952,0.491379208,0.446095858,0.455705037,0.389810081,0.268339107,-0.709521229,0.729439817,-0.000827953,-0.313758967,-0.029490891,0.187705322,0.199766102,0.014920541,0.316849239,-0.003050502,-0.003049169,9.09E-06,0.060072449,-0.174172063,-0.229613159,-0.187717448,-0.196562727,0.169213366,-0.088255768,-0.149939636,0.034290406,0.186052726,-0.171541766,0.325625632,0.330909075,0.416616211,0.352351879,0.187365174,0.345256995,0.569662796,0.96289151,0.50006751,0.394045524,0.002335559,-0.005810052,0.337201254,0.873108517,0.419762603,0.340201391,0.481064176,0.633497655,0.61872557,0.354636768,0.548998576,0.439867136,0.412559933,0.428329989,0.345194558,0.241166717,-0.684803712,0.704104841,0.072668997,-0.12692876,0.073999466,0.349126865,0.569770559,0.011111937,0.269875572,-0.002868718,-0.002868718,-0.000129603,0.037694474,-0.17666361,-0.215570441,-0.178820675,-0.190294845,0.168622339,-0.091809442,-0.142140734,0.020893673,0.179371047,-0.168699973
pct_hh_shortness_of_breath,0.305953089,0.287729257,0.390507017,0.338873048,0.275813356,0.296012868,0.295618699,0.537856371,1,0.674372239,0.00774821,-0.000115823,0.289637326,0.524574238,0.815571436,0.587062755,0.280158844,0.372990623,0.386631398,0.441004792,0.272080406,0.37488196,0.269510155,0.233601961,0.336756851,0.255650881,-0.384935158,0.465314897,0.086449618,-0.091375824,0.022952637,0.136041831,0.003213871,-0.135496755,0.233362442,-0.000990938,-0.001000679,-0.001914797,0.050944995,0.148991703,0.119013254,0.16077537,0.150871164,0.080022411,0.275987259,0.166348882,0.19079672,-0.183054384,0.204824702,0.267734451,0.252234212,0.346337134,0.293609877,0.152158825,0.259459074,0.279742536,0.514822905,0.936173584,0.607709511,0.007247752,-0.000246029,0.255642654,0.505243084,0.756442604,0.530016056,0.279929543,0.369065223,0.383757601,0.417612783,0.261917545,0.331577613,0.247358422,0.219637387,0.294397383,0.235173115,-0.370473759,0.452550548,0.117836314,0.008243685,0.077782486,0.208178184,0.26525193,-0.14556927,0.198638632,-0.000930264,-0.000930264,-0.002018332,0.028326212,0.143403153,0.124205973,0.165641888,0.153075838,0.079312206,0.267027442,0.163286223,0.185514834,-0.181740839,0.201699479
pct_hh_difficulty_breathing,0.30908207,0.290879734,0.3714136,0.361897332,0.288363409,0.32633181,0.312646576,0.43033397,0.674372239,1,0.007931596,-0.001899186,0.290684727,0.400368157,0.601590234,0.753493094,0.299182087,0.324500077,0.28166787,0.30207625,0.279647483,0.404805934,0.282569416,0.2706601,0.327839624,0.144856301,-0.33208836,0.389180763,0.119713734,-0.022432471,0.055882291,0.133239293,-0.067541204,0.071877553,0.029198792,0.002713587,0.002702251,0.001493581,0.129697171,-0.013218265,-0.055299627,0.022444461,-0.020943022,0.081045635,0.084149041,0.029054043,0.004791488,0.012771235,0.008803087,0.282029541,0.266784069,0.344798087,0.330911883,0.211632076,0.302960942,0.309893468,0.424570327,0.645862417,0.924411358,0.007231806,-0.001907792,0.268519144,0.396088835,0.572376072,0.693002405,0.303788704,0.323383973,0.284498116,0.293910025,0.280586412,0.375904753,0.269619346,0.262158665,0.301665523,0.135990064,-0.329423297,0.388594296,0.149149754,0.067351892,0.106589314,0.194608686,0.191741198,0.036338126,0.00579834,0.00257459,0.00257459,0.001511155,0.112881382,-0.023622538,-0.053337154,0.019059657,-0.027985713,0.08351526,0.075466872,0.021398139,-0.001211506,0.018592438,0.000798449
