states,positives
Alabama,0.8873665071770335
Alaska,0.2638290598290599
Arizona,0.7798339712918662
Arkansas,0.5087148325358853
California,0.4839933333333334
Colorado,0.29732105263157904
Connecticut,0.38535454545454534
Delaware,0.519246308724832
District of Columbia,0.7014142857142858
Florida,0.6862695238095239
Georgia,0.7296838095238091
Hawaii,0.15308132530120483
Idaho,0.5527222222222222
Illinois,0.45748708133971294
Indiana,0.38865454545454536
Iowa,0.5633808612440193
Kansas,0.37917451923076917
Kentucky,0.3115473684210526
Louisiana,1.0052038277511957
Maine,0.07797205882352941
Maryland,0.386327142857143
Massachusetts,0.32424857142857144
Michigan,0.31652583732057415
Minnesota,0.3038976076555024
Mississippi,0.9383657004830916
Missouri,0.3112784688995215
Montana,0.3056462311557789
Nebraska,0.4354257281553399
Nevada,0.5253674757281553
New Hampshire,0.1655536945812808
New Jersey,0.5675285714285716
New Mexico,0.2732257281553398
New York,0.4605709523809526
North Carolina,0.36648857142857133
North Dakota,0.48045447154471543
Ohio,0.25924449760765556
Oklahoma,0.4372181818181818
Oregon,0.20802870813397134
Pennsylvania,0.25717619047619045
Rhode Island,0.5582730769230769
South Carolina,0.7022043062200953
South Dakota,0.471831137724551
Tennessee,0.4516385714285714
Texas,0.8090880382775114
Utah,0.5329813397129185
Vermont,0.09815304347826088
Virginia,0.3166895238095238
Washington,0.2985628571428572
West Virginia,0.22402307692307696
Wisconsin,0.2538851674641149
Wyoming,0.19844470588235294
